id,source_name,source_type,scope,market_or_region,language_or_locale,url,evidence_class,status,notes
SRC-0001,Pokémon ORAS official JP site,official,ORAS,Japan,Japanese,https://www.pokemon.co.jp/ex/oras/,D,reviewed,"Confirms Japanese domestic release date 2014-11-21 and provides contemporaneous game/system material."
SRC-0002,Nintendo Japan ORAS product page,official,ORAS,Japan,Japanese,https://www.nintendo.co.jp/3ds/ecrj/index.html,D,reviewed,"Confirms Japan product information, current Ver.1.4 notice, and online-service termination notice."
SRC-0003,Nintendo Japan Omega Ruby manual,official,Omega Ruby,Japan,Japanese,https://www.nintendo.co.jp/3ds/ecrj/detail/man_ecrj_00.pdf,D,reviewed,"Confirms language selection before title screen and that selected language cannot be changed during the save; also documents save/additional-data behavior."
SRC-0004,Nintendo Japan ORAS update page,official,ORAS,Japan,Japanese,https://www.nintendo.co.jp/3ds/ecrj/update/index.html,D,located,"Official update endpoint; historical intermediate-version recovery still required."
SRC-0005,Nintendo Hong Kong ORAS Ver.1.2 notice,official,ORAS,Hong Kong,Chinese,https://www.nintendo.com/hk/pressrelease/3ds_20141203_poke_update.html,D,reviewed,"Official regional notice records Ver.1.2 on 2014-12-03 and includes prior Ver.1.1 dated 2014-11-25; do not automatically promote these dates to JP without JP evidence."
SRC-0006,Nintendo Hong Kong ORAS Ver.1.3 notice,official,ORAS,Hong Kong,Chinese,https://www.nintendo.com/hk/pressrelease/3ds_20150402_pokeORAS_update.html,D,reviewed,"Official regional notice records Ver.1.3 on 2015-04-02 and states it includes earlier updates; regional corroboration, not a substitute for JP-market notice recovery."
SRC-0007,kwsch/pk3DS,public implementation,XY+ORAS,not market-specific,source code,https://github.com/kwsch/pk3DS,A,in progress,"Primary implementation evidence for GARC and Gen VI data editors; audit subsystem-by-subsystem and record commit IDs."
SRC-0008,TeamEXR/shutan-dev-wiki,technical documentation,Gen VI,not market-specific,English,https://github.com/TeamEXR/shutan-dev-wiki,B,in progress,"Gen VI reverse-engineering notes; some material is XY-centric and must be checked before applying to ORAS."
SRC-0009,Rynbo/CTRMap,public implementation,XY+ORAS,not market-specific,source code,https://github.com/Rynbo/CTRMap,A,pending,"World/zone/map/script research source; compare with CTRMap-F5."
SRC-0010,hdent1232/CTRMap-F5,public implementation,XY+ORAS,not market-specific,source code,https://github.com/hdent1232/CTRMap-F5,A,pending,"High-priority ORAS world/script source; inspect implementation and tests rather than relying only on README claims."
SRC-0011,kwsch/PKHeX,public implementation,XY+ORAS,not market-specific,source code,https://github.com/kwsch/PKHeX,A,pending,"ORAS save, PK6/EK6, WC6, Super Secret Base and game-version handling."
SRC-0012,3DSGuy/Project_CTR,public implementation,Nintendo 3DS platform,not market-specific,source code,https://github.com/3DSGuy/Project_CTR,A,pending,"ctrtool/makerom reference for NCCH/CXI/CFA/CCI/CIA, ExeFS, RomFS."
SRC-0013,3dbrew Nintendo 3DS documentation,technical documentation,Nintendo 3DS platform,not market-specific,English,https://www.3dbrew.org/,B,pending,"Platform container/filesystem/executable documentation; individual pages to receive separate IDs as audited."
SRC-0014,Project Pokémon Gen VI preservation material,structured preservation,XY+ORAS,multiple,multiple,https://projectpokemon.org/,C,pending,"Event/save/entity/Secret Base preservation lead; individual collections and records require separate entries."
