id,market_or_locale,language,game_scope,source_name,url,status,notes
REG-0001,Japan,Japanese,ORAS,Pokémon official JP ORAS site,https://www.pokemon.co.jp/ex/oras/,reviewed,"Japanese comparison-origin game site."
REG-0002,Japan,Japanese,ORAS,Pokémon official JP ORAS update/news index,https://www.pokemon.co.jp/ex/oras/update/,located,"Enumerate every dated feature/campaign/update entry."
REG-0003,Japan,Japanese,Omega Ruby,Nintendo Japan Omega Ruby manual,https://www.nintendo.co.jp/3ds/ecrj/detail/man_ecrj_00.pdf,reviewed,"Official Japanese-market manual; language-selection and save behavior evidence."
REG-0004,North America,English,ORAS,Pokémon.com US ORAS product page,https://www.pokemon.com/us/pokemon-video-games/pokemon-omega-ruby-and-pokemon-alpha-sapphire,reviewed,"Official English-localized game/system terminology."
REG-0005,United Kingdom,English,ORAS,Pokémon.com UK ORAS product page,https://www.pokemon.com/uk/pokemon-video-games/pokemon-omega-ruby-and-pokemon-alpha-sapphire,located,"Official UK locale endpoint; page body may be client-rendered, so archive/capture follow-up is required."
REG-0006,France,French,ORAS,Pokémon.com France ORAS product page,https://www.pokemon.com/fr/jeux-video-pokemon/pokemon-rubis-omega-et-pokemon-saphir-alpha,reviewed,"Official French terminology including Delta Episode, Primal Reversion, Soaring and PokéNav Plus."
REG-0007,Spain,Spanish,ORAS,Pokémon.com Spain ORAS product page,https://www.pokemon.com/es/videojuegos-pokemon/pokemon-rubi-omega-y-pokemon-zafiro-alfa,reviewed,"Official Spanish terminology for ORAS systems and characters."
REG-0008,Germany,German,ORAS,Pokémon.com Germany ORAS product page,https://www.pokemon.com/de/pokemon-videospiele/pokemon-omega-rubin-und-pokemon-alpha-saphir/,reviewed,"Official German terminology for ORAS systems and characters."
REG-0009,Italy,Italian,ORAS,Pokémon.com Italy ORAS product page,https://www.pokemon.com/it/videogiochi/pokemon-rubino-omega-e-pokemon-zaffiro-alpha,reviewed,"Official Italian terminology for ORAS systems and characters."
REG-0010,North America,English,ORAS,Nintendo of America ORAS update history,https://en-americas-support.nintendo.com/app/answers/detail/a_id/13351/~/how-to-update-pok%C3%A9mon-omega-ruby-and-pok%C3%A9mon-alpha-sapphire,reviewed,"Official regional Ver.1.1-1.4 chronology and fix descriptions."
REG-0011,North America,English/French/Spanish,ORAS,Nintendo of America Nintendo 3DS manuals index,https://en-americas-support.nintendo.com/app/answers/detail/a_id/16903/,located,"Indexes Omega Ruby, Alpha Sapphire and Special Demo manuals; enumerate individual documents."
REG-0012,Hong Kong,Chinese,ORAS,Nintendo Hong Kong ORAS Ver.1.2 notice,https://www.nintendo.com/hk/pressrelease/3ds_20141203_poke_update.html,reviewed,"Independent regional update notice including prior Ver.1.1 date."
REG-0013,Hong Kong,Chinese,ORAS,Nintendo Hong Kong ORAS Ver.1.3 notice,https://www.nintendo.com/hk/pressrelease/3ds_20150402_pokeORAS_update.html,reviewed,"Independent regional Ver.1.3 notice."
REG-0014,Korea,Korean,XY+ORAS,Nintendo Korea Champions Day 2014,https://www.nintendo.com/kr/event/pkm_event22/index.html,reviewed,"Transition-period page with ORAS quiz and Special Demo hands-on/download code."
REG-0015,Korea,Korean,ORAS,Nintendo Korea Winter Carnival 2014,https://www.nintendo.com/kr/event/pkm_event23/index.html,reviewed,"Official Korean ORAS Contest Spectacular activity, quiz and Special Demo distribution; requires Korean officially released OR/AS."
REG-0016,Korea,Korean,ORAS,Nintendo Korea ORAS tournament rules PDF,https://www.nintendo.com/kr/event/pkm_event34/rule.pdf,reviewed,"Official PSS double-battle flat-rule document; National Dex 001-719 eligibility, PokéMover allowance and detailed battle rules."
REG-0017,Korea,Korean,ORAS,Nintendo Korea additional ORAS event series,https://www.nintendo.com/kr/event/pkm_event27/index.html,access_limited,"Known official event endpoint; current fetch encountered a Unicode decoding error, so preserve as unresolved source target."
REG-0018,Europe,multiple,ORAS,Nintendo Europe/UK ORAS support/update/manual material,TBD,missing,"Required regional source family; locate current or archived Nintendo Europe/UK pages."
REG-0019,Taiwan/other Asian markets,Chinese/region-specific,ORAS,Nintendo regional ORAS official material,TBD,missing,"Required regional family distinct from Hong Kong; locate product/support/event/update sources."
REG-0020,multiple,multiple,ORAS,Official regional Pokémon event/distribution pages,TBD,in_progress,"Expand beyond product pages into each locale's 2014-2016 event, Mystery Gift, competition and campaign articles."
